cellVoltage_1,cellVoltage_2,cellVoltage_3,cellVoltage_4,cellVoltage_5,cellVoltage_6,cellVoltage_7,cellVoltage_8,cellVoltage_9,cellVoltage_10,cellVoltage_11,cellVoltage_12,cellVoltage_13,cellVoltage_14,packCurrent,cellSoC_1,cellSoC_2,cellSoC_3,cellSoC_4,cellSoC_5,cellSoC_6,cellSoC_7,cellSoC_8,cellSoC_9,cellSoC_10,cellSoC_11,cellSoC_12,cellSoC_13,cellSoC_14,cellSoH_1,cellSoH_2,cellSoH_3,cellSoH_4,cellSoH_5,cellSoH_6,cellSoH_7,cellSoH_8,cellSoH_9,cellSoH_10,cellSoH_11,cellSoH_12,cellSoH_13,cellSoH_14,equivalentFullCycle,Date
3700714,3751983,4017333,3922424,3796081,3961486,3977508,3845672,3641967,3915710,3993530,4022521,3807830,3826141,50,460,539,791,710,651,751,758,645,352,704,773,797,601,620,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1669992731
3700866,3752288,4017333,3921661,3796234,3961944,3977203,3845367,3641510,3915252,3993530,4022827,3808441,3826446,50,460,539,791,710,651,751,758,645,352,704,773,797,601,620,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1669992732
3700866,3752288,4017333,3921661,3796234,3961944,3977203,3845367,3641510,3915252,3993530,4022827,3808441,3826446,50,460,539,791,710,651,751,758,645,352,704,773,797,601,620,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1669992732
3700866,3752288,4017333,3921661,3796234,3961944,3977203,3845367,3641510,3915252,3993530,4022827,3808441,3826446,50,460,539,791,710,651,751,758,645,352,704,773,797,601,620,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1669992732
3700408,3752136,4016418,3921203,3796539,3961944,3976898,3845825,3641510,3915405,3993530,4022521,3807983,3826599,50,460,539,791,710,651,751,758,645,352,704,773,797,601,620,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1669992733
3700408,3752136,4016418,3921203,3796539,3961944,3976898,3845825,3641510,3915405,3993530,4022521,3807983,3826599,50,460,539,791,710,651,751,758,645,352,704,773,797,601,620,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1669992733
3700408,3752136,4016418,3921203,3796539,3961944,3976898,3845825,3641510,3915405,3993530,4022521,3807983,3826599,50,460,539,791,710,651,751,758,645,352,704,773,797,601,620,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1669992733
3699340,3751373,4016876,3921966,3796081,3961334,3976898,3845367,3641662,3915252,3993988,4022521,3807830,3825836,50,460,539,791,710,651,751,758,645,352,704,773,797,601,620,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1669992734
3699340,3751373,4016876,3921966,3796081,3961334,3976898,3845367,3641662,3915252,3993988,4022521,3807830,3825836,50,460,539,791,710,651,751,758,645,352,704,773,797,601,620,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1669992734
3699340,3751373,4016876,3921966,3796081,3961334,3976898,3845367,3641662,3915252,3993988,4022521,3807830,3825836,50,460,539,791,710,651,751,758,645,352,704,773,797,601,620,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1669992734
3699493,3751831,4017181,3921813,3796691,3961791,3976898,3845520,3641662,3915100,3994293,4022979,3807678,3826141,50,460,539,791,710,651,751,758,645,352,704,773,797,601,620,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1669992735
3699493,3751831,4017181,3921813,3796691,3961791,3976898,3845520,3641662,3915100,3994293,4022979,3807678,3826141,50,460,539,791,710,651,751,758,645,352,704,773,797,601,620,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1669992735
3699493,3751831,4017181,3921813,3796691,3961791,3976898,3845520,3641662,3915100,3994293,4022979,3807678,3826141,50,460,539,791,710,651,751,758,645,352,704,773,797,601,620,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1669992735
3700714,3751983,4017028,3921661,3795928,3961181,3977355,3846130,3642425,3915710,3993835,4023284,3808441,3826751,50,460,539,791,710,651,751,758,645,352,704,773,797,601,620,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1669992736
3700714,3751983,4017028,3921661,3795928,3961181,3977355,3846130,3642425,3915710,3993835,4023284,3808441,3826751,50,460,539,791,710,651,751,758,645,352,704,773,797,601,620,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1669992736
3700714,3751983,4017028,3921661,3795928,3961181,3977355,3846130,3642425,3915710,3993835,4023284,3808441,3826751,50,460,539,791,710,651,751,758,645,352,704,773,797,601,620,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1669992736
3700256,3751831,4017028,3921356,3796691,3961639,3977508,3845825,3642120,3915252,3993988,4023284,3807830,3826446,50,460,539,791,710,651,751,758,645,352,704,773,797,601,620,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1669992737
3700256,3751831,4017028,3921356,3796691,3961639,3977508,3845825,3642120,3915252,3993988,4023284,3807830,3826446,50,460,539,791,710,651,751,758,645,352,704,773,797,601,620,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1669992737
3700256,3751831,4017028,3921356,3796691,3961639,3977508,3845825,3642120,3915252,3993988,4023284,3807830,3826446,50,460,539,791,710,651,751,758,645,352,704,773,797,601,620,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1669992737
3699951,3751678,4016571,3921661,3796997,3961944,3976287,3845672,3641510,3915557,3994140,4023284,3808135,3826141,50,460,539,791,710,651,751,758,645,352,704,773,797,601,620,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1669992738
3699951,3751678,4016571,3921661,3796997,3961944,3976287,3845672,3641510,3915557,3994140,4023284,3808135,3826141,50,460,539,791,710,651,751,758,645,352,704,773,797,601,620,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1669992738
