cellVoltage_1,cellVoltage_2,cellVoltage_3,cellVoltage_4,cellVoltage_5,cellVoltage_6,cellVoltage_7,cellVoltage_8,cellVoltage_9,cellVoltage_10,cellVoltage_11,cellVoltage_12,cellVoltage_13,cellVoltage_14,packCurrent,cellSoC_1,cellSoC_2,cellSoC_3,cellSoC_4,cellSoC_5,cellSoC_6,cellSoC_7,cellSoC_8,cellSoC_9,cellSoC_10,cellSoC_11,cellSoC_12,cellSoC_13,cellSoC_14,cellSoH_1,cellSoH_2,cellSoH_3,cellSoH_4,cellSoH_5,cellSoH_6,cellSoH_7,cellSoH_8,cellSoH_9,cellSoH_10,cellSoH_11,cellSoH_12,cellSoH_13,cellSoH_14,equivalentFullCycle,cellCB_1,cellCB_2,cellCB_3,cellCB_4,cellCB_5,cellCB_6,cellCB_7,cellCB_8,cellCB_9,cellCB_10,cellCB_11,cellCB_12,cellCB_13,cellCB_14,Date
3708953,3700256,3708648,3706970,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3705139,3707580,3707885,49,467,479,469,472,275,275,275,275,275,275,275,471,475,475,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1681393982
3709716,3699798,3709411,3707275,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3706207,3707580,3708038,49,467,479,469,472,275,275,275,275,275,275,275,471,475,475,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1681393983
3709564,3700408,3709564,3707122,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3705749,3708190,3708190,49,467,479,469,472,275,275,275,275,275,275,275,471,475,475,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1681393984
3710174,3700561,3708801,3706970,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3705291,3706970,3707275,49,467,479,469,472,275,275,275,275,275,275,275,471,475,475,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1681393985
3708953,3700256,3708953,3707275,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3705749,3708038,3708343,49,467,479,469,472,275,275,275,275,275,275,275,471,475,475,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1681393986
3709106,3700103,3708801,3707580,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3705596,3708038,3708496,49,467,479,469,472,275,275,275,275,275,275,275,471,475,475,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1681393987
3709106,3700103,3709411,3707580,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3705291,3708038,3708343,49,467,479,469,472,275,275,275,275,275,275,275,471,475,475,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1681393988
3708801,3699645,3708801,3707122,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3706207,3707733,3708038,49,467,479,469,472,275,275,275,275,275,275,275,471,475,475,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1681393989
3709106,3699493,3709106,3706970,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3705444,3707733,3707733,49,467,479,469,472,275,275,275,275,275,275,275,471,475,475,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1681393990
3709106,3699951,3708648,3706817,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3706207,3708038,3707885,49,467,479,469,472,275,275,275,275,275,275,275,471,475,475,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1681393991
3709106,3699951,3709106,3707580,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3705444,3707427,3707427,49,467,479,469,472,275,275,275,275,275,275,275,471,475,475,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1681393992
