cellVoltage_1,cellVoltage_2,cellVoltage_3,cellVoltage_4,cellVoltage_5,cellVoltage_6,cellVoltage_7,cellVoltage_8,cellVoltage_9,cellVoltage_10,cellVoltage_11,cellVoltage_12,cellVoltage_13,cellVoltage_14,packCurrent,cellSoC_1,cellSoC_2,cellSoC_3,cellSoC_4,cellSoC_5,cellSoC_6,cellSoC_7,cellSoC_8,cellSoC_9,cellSoC_10,cellSoC_11,cellSoC_12,cellSoC_13,cellSoC_14,cellSoH_1,cellSoH_2,cellSoH_3,cellSoH_4,cellSoH_5,cellSoH_6,cellSoH_7,cellSoH_8,cellSoH_9,cellSoH_10,cellSoH_11,cellSoH_12,cellSoH_13,cellSoH_14,equivalentFullCycle,cellCB_1,cellCB_2,cellCB_3,cellCB_4,cellCB_5,cellCB_6,cellCB_7,cellCB_8,cellCB_9,cellCB_10,cellCB_11,cellCB_12,cellCB_13,cellCB_14,Date
3833007,3832550,3824462,3847045,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3822631,3830871,3834533,509,595,603,601,598,5,5,5,5,5,5,5,599,605,605,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681474325
3832397,3832397,3825073,3847351,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3822937,3831329,3833618,511,595,603,601,598,5,5,5,5,5,5,5,599,605,605,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681474326
3832855,3832550,3824920,3848114,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3822784,3831634,3833923,512,595,603,601,598,5,5,5,5,5,5,5,599,605,605,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681474327
3832244,3832092,3824920,3847503,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3822937,3830413,3833618,511,595,603,601,598,5,5,5,5,5,5,5,599,605,605,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681474328
3832855,3832855,3825225,3847961,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3823394,3831787,3834533,507,595,603,601,598,5,5,5,5,5,5,5,599,605,605,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681474329
3832702,3832702,3824920,3847656,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3822631,3831176,3833618,509,595,603,601,598,5,5,5,5,5,5,5,599,605,605,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681474330
3832550,3832244,3824005,3847045,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3822479,3831481,3834228,509,595,603,601,598,5,5,5,5,5,5,5,599,605,605,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681474331
3832855,3832244,3824920,3847198,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3822631,3830718,3833923,510,595,603,601,598,5,5,5,5,5,5,5,599,605,605,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681474332
3833007,3832702,3824462,3847503,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3822784,3831329,3834533,509,595,603,601,598,5,5,5,5,5,5,5,599,605,605,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681474333
3833007,3833007,3825073,3846893,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3822326,3830566,3833312,509,595,603,601,598,5,5,5,5,5,5,5,599,605,605,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681474334
3832702,3832702,3824157,3847351,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3822937,3830566,3833923,510,595,603,601,598,5,5,5,5,5,5,5,599,605,605,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681474335
3832244,3832550,3825073,3848114,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3822326,3831024,3833770,508,595,603,601,598,5,5,5,5,5,5,5,599,605,605,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681474336
3831939,3832244,3825225,3847351,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3821868,3831329,3833923,509,595,603,601,598,5,5,5,5,5,5,5,599,605,605,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681474337
