cellVoltage_1,cellVoltage_2,cellVoltage_3,cellVoltage_4,cellVoltage_5,cellVoltage_6,cellVoltage_7,cellVoltage_8,cellVoltage_9,cellVoltage_10,cellVoltage_11,cellVoltage_12,cellVoltage_13,cellVoltage_14,packCurrent,cellSoC_1,cellSoC_2,cellSoC_3,cellSoC_4,cellSoC_5,cellSoC_6,cellSoC_7,cellSoC_8,cellSoC_9,cellSoC_10,cellSoC_11,cellSoC_12,cellSoC_13,cellSoC_14,cellSoH_1,cellSoH_2,cellSoH_3,cellSoH_4,cellSoH_5,cellSoH_6,cellSoH_7,cellSoH_8,cellSoH_9,cellSoH_10,cellSoH_11,cellSoH_12,cellSoH_13,cellSoH_14,equivalentFullCycle,cellCB_1,cellCB_2,cellCB_3,cellCB_4,cellCB_5,cellCB_6,cellCB_7,cellCB_8,cellCB_9,cellCB_10,cellCB_11,cellCB_12,cellCB_13,cellCB_14,Date
3767700,3773193,3776092,3752136,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3767089,3771209,3765869,-503,184,-666,-681,187,208,208,208,208,208,208,208,-681,-684,-684,749,-119,-129,749,749,749,749,749,749,749,749,-129,-131,-131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681916732
3767852,3773193,3776245,3752441,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3768005,3771362,3765563,-503,184,-666,-681,187,208,208,208,208,208,208,208,-681,-684,-684,749,-119,-129,749,749,749,749,749,749,749,749,-129,-131,-131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681916733
3769073,3774261,3776702,3752593,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3768005,3771820,3766632,-502,184,-666,-681,187,208,208,208,208,208,208,208,-681,-684,-684,749,-119,-129,749,749,749,749,749,749,749,749,-129,-131,-131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681916734
3768615,3774261,3776855,3752288,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3768463,3771972,3766326,-503,184,-666,-681,187,208,208,208,208,208,208,208,-681,-684,-684,749,-119,-129,749,749,749,749,749,749,749,749,-129,-131,-131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681916735
3769073,3775024,3777923,3753662,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3769226,3772735,3767395,-503,184,-666,-681,187,208,208,208,208,208,208,208,-681,-684,-684,749,-119,-129,749,749,749,749,749,749,749,749,-129,-131,-131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681916736
3769378,3775482,3778686,3754730,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3769531,3772888,3767852,-503,184,-666,-681,187,208,208,208,208,208,208,208,-681,-684,-684,749,-119,-129,749,749,749,749,749,749,749,749,-129,-131,-131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681916737
3770294,3775787,3779296,3755035,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3769378,3772583,3768005,-503,185,-665,-680,188,209,209,209,209,209,209,209,-680,-683,-683,749,-119,-129,749,749,749,749,749,749,749,749,-129,-131,-131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681916738
3770599,3775939,3778686,3754577,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3770141,3773193,3767852,-503,185,-665,-680,188,209,209,209,209,209,209,209,-680,-683,-683,749,-119,-129,749,749,749,749,749,749,749,749,-129,-131,-131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681916739
3770294,3776245,3779754,3755340,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3770141,3774108,3768768,-503,185,-665,-680,188,209,209,209,209,209,209,209,-680,-683,-683,749,-119,-129,749,749,749,749,749,749,749,749,-129,-131,-131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681916740
3770904,3777008,3779144,3755340,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3770599,3774871,3768920,-503,185,-665,-680,188,209,209,209,209,209,209,209,-680,-683,-683,749,-119,-129,749,749,749,749,749,749,749,749,-129,-131,-131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681916741
3771057,3777313,3779754,3755340,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3770294,3774871,3768920,-503,185,-665,-680,188,209,209,209,209,209,209,209,-680,-683,-683,749,-119,-129,749,749,749,749,749,749,749,749,-129,-131,-131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681916742
3770904,3777160,3780364,3756103,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3771820,3774871,3769989,-503,185,-665,-680,188,209,209,209,209,209,209,209,-680,-683,-683,749,-119,-129,749,749,749,749,749,749,749,749,-129,-131,-131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681916743
3771362,3777465,3780975,3756103,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3771972,3775177,3769989,-503,185,-665,-680,188,209,209,209,209,209,209,209,-680,-683,-683,749,-119,-129,749,749,749,749,749,749,749,749,-129,-131,-131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681916744
3771972,3777923,3781127,3755950,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3772430,3775024,3769531,-503,185,-665,-680,188,209,209,209,209,209,209,209,-680,-683,-683,749,-119,-129,749,749,749,749,749,749,749,749,-129,-131,-131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681916745
3772125,3778533,3780517,3756408,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3772583,3775787,3769989,-503,185,-665,-680,188,209,209,209,209,209,209,209,-680,-683,-683,749,-119,-129,749,749,749,749,749,749,749,749,-129,-131,-131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681916746
3772277,3778686,3782196,3757171,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3773040,3775787,3770751,-503,185,-665,-680,188,209,209,209,209,209,209,209,-680,-683,-683,749,-119,-129,749,749,749,749,749,749,749,749,-129,-131,-131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681916747
3771972,3779449,3782501,3757019,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3773193,3776397,3770904,-503,185,-665,-680,188,209,209,209,209,209,209,209,-680,-683,-683,749,-119,-129,749,749,749,749,749,749,749,749,-129,-131,-131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681916748
3773040,3778686,3782653,3757476,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3773803,3777160,3770904,-503,185,-665,-680,188,209,209,209,209,209,209,209,-680,-683,-683,749,-119,-129,749,749,749,749,749,749,749,749,-129,-131,-131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681916750
3772888,3779754,3782196,3757324,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3773651,3777313,3771514,-503,185,-665,-680,188,209,209,209,209,209,209,209,-680,-683,-683,749,-119,-129,749,749,749,749,749,749,749,749,-129,-131,-131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681916750
3773498,3780059,3782653,3757629,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3774108,3777465,3771667,-503,185,-665,-680,188,209,209,209,209,209,209,209,-680,-683,-683,749,-119,-129,749,749,749,749,749,749,749,749,-129,-131,-131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681916751
3773803,3780212,3782806,3758239,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3774261,3777618,3772277,-503,185,-665,-680,188,209,209,209,209,209,209,209,-680,-683,-683,749,-119,-129,749,749,749,749,749,749,749,749,-129,-131,-131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681916752
3773345,3779907,3782958,3758087,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3773956,3778381,3772735,-503,185,-665,-680,188,209,209,209,209,209,209,209,-680,-683,-683,749,-119,-129,749,749,749,749,749,749,749,749,-129,-131,-131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681916753
3774108,3780212,3783416,3758544,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3774566,3778228,3773040,-503,185,-665,-680,188,209,209,209,209,209,209,209,-680,-683,-683,749,-119,-129,749,749,749,749,749,749,749,749,-129,-131,-131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681916754
3774414,3780975,3782958,3758239,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3775482,3778228,3773193,-503,185,-665,-680,188,209,209,209,209,209,209,209,-680,-683,-683,749,-119,-129,749,749,749,749,749,749,749,749,-129,-131,-131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681916756
3775177,3781280,3783721,3759155,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3775634,3778228,3772277,-503,185,-665,-680,188,209,209,209,209,209,209,209,-680,-683,-683,749,-119,-129,749,749,749,749,749,749,749,749,-129,-131,-131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681916756
