cellVoltage_1,cellVoltage_2,cellVoltage_3,cellVoltage_4,cellVoltage_5,cellVoltage_6,cellVoltage_7,cellVoltage_8,cellVoltage_9,cellVoltage_10,cellVoltage_11,cellVoltage_12,cellVoltage_13,cellVoltage_14,packCurrent,cellSoC_1,cellSoC_2,cellSoC_3,cellSoC_4,cellSoC_5,cellSoC_6,cellSoC_7,cellSoC_8,cellSoC_9,cellSoC_10,cellSoC_11,cellSoC_12,cellSoC_13,cellSoC_14,cellSoH_1,cellSoH_2,cellSoH_3,cellSoH_4,cellSoH_5,cellSoH_6,cellSoH_7,cellSoH_8,cellSoH_9,cellSoH_10,cellSoH_11,cellSoH_12,cellSoH_13,cellSoH_14,equivalentFullCycle,cellCB_1,cellCB_2,cellCB_3,cellCB_4,cellCB_5,cellCB_6,cellCB_7,cellCB_8,cellCB_9,cellCB_10,cellCB_11,cellCB_12,cellCB_13,cellCB_14,Date
4122161,4129180,4139404,4111938,3600000,3600000,3600000,3600000,3600000,3600000,3600000,4124298,4133148,4127807,-377,84,84,84,84,84,84,84,84,84,84,84,84,84,84,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682113457
4122924,4129486,4139709,4111785,3600000,3600000,3600000,3600000,3600000,3600000,3600000,4125061,4132995,4127044,-376,84,84,84,84,84,84,84,84,84,84,84,84,84,84,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682113458
4122009,4128875,4139251,4111633,3600000,3600000,3600000,3600000,3600000,3600000,3600000,4124908,4132537,4127502,-376,84,84,84,84,84,84,84,84,84,84,84,84,84,84,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682113459
4122772,4129180,4139251,4111785,3600000,3600000,3600000,3600000,3600000,3600000,3600000,4124450,4132385,4128265,-376,84,84,84,84,84,84,84,84,84,84,84,84,84,84,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682113460
4122009,4129028,4139709,4112091,3600000,3600000,3600000,3600000,3600000,3600000,3600000,4124908,4132080,4126739,-376,84,84,84,84,84,84,84,84,84,84,84,84,84,84,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682113461
4122924,4129180,4139099,4111938,3600000,3600000,3600000,3600000,3600000,3600000,3600000,4124908,4132537,4126892,-376,84,84,84,84,84,84,84,84,84,84,84,84,84,84,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682113462
4122924,4129333,4139099,4112396,3600000,3600000,3600000,3600000,3600000,3600000,3600000,4124603,4133148,4127349,-376,84,84,84,84,84,84,84,84,84,84,84,84,84,84,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682113463
4122772,4129180,4139709,4112243,3600000,3600000,3600000,3600000,3600000,3600000,3600000,4125366,4132690,4127502,-376,84,84,84,84,84,84,84,84,84,84,84,84,84,84,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682113464
4122924,4129486,4138946,4111938,3600000,3600000,3600000,3600000,3600000,3600000,3600000,4124908,4132995,4127349,-375,84,84,84,84,84,84,84,84,84,84,84,84,84,84,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682113465
4123077,4129638,4139404,4112243,3600000,3600000,3600000,3600000,3600000,3600000,3600000,4125061,4132843,4127502,-375,84,84,84,84,84,84,84,84,84,84,84,84,84,84,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682113466
4122161,4128417,4139404,4111938,3600000,3600000,3600000,3600000,3600000,3600000,3600000,4124603,4133148,4127807,-375,84,84,84,84,84,84,84,84,84,84,84,84,84,84,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682113467
4122161,4129028,4139556,4111938,3600000,3600000,3600000,3600000,3600000,3600000,3600000,4124603,4132537,4127807,-375,85,85,85,85,85,85,85,85,85,85,85,85,85,85,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682113468
4122467,4129333,4139862,4112243,3600000,3600000,3600000,3600000,3600000,3600000,3600000,4124908,4132995,4126892,-375,85,85,85,85,85,85,85,85,85,85,85,85,85,85,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682113469
4122619,4129333,4139709,4112701,3600000,3600000,3600000,3600000,3600000,3600000,3600000,4124450,4132995,4127349,-374,85,85,85,85,85,85,85,85,85,85,85,85,85,85,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682113470
4122619,4129180,4139251,4112396,3600000,3600000,3600000,3600000,3600000,3600000,3600000,4124450,4132537,4127349,-374,85,85,85,85,85,85,85,85,85,85,85,85,85,85,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682113471
4122619,4129028,4139556,4112243,3600000,3600000,3600000,3600000,3600000,3600000,3600000,4123992,4132385,4126892,-374,85,85,85,85,85,85,85,85,85,85,85,85,85,85,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682113472
4122314,4129333,4139862,4112396,3600000,3600000,3600000,3600000,3600000,3600000,3600000,4124908,4131774,4127197,-374,85,85,85,85,85,85,85,85,85,85,85,85,85,85,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682113473
4122314,4128417,4139251,4111938,3600000,3600000,3600000,3600000,3600000,3600000,3600000,4124755,4133605,4127349,-374,85,85,85,85,85,85,85,85,85,85,85,85,85,85,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682113474
4122924,4129486,4139099,4112091,3600000,3600000,3600000,3600000,3600000,3600000,3600000,4125061,4132995,4127502,-374,85,85,85,85,85,85,85,85,85,85,85,85,85,85,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682113475
4122619,4128875,4138641,4111785,3600000,3600000,3600000,3600000,3600000,3600000,3600000,4124908,4132385,4127349,-374,85,85,85,85,85,85,85,85,85,85,85,85,85,85,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682113476
4122467,4129333,4139251,4112091,3600000,3600000,3600000,3600000,3600000,3600000,3600000,4124450,4132843,4127349,-373,85,85,85,85,85,85,85,85,85,85,85,85,85,85,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682113477
4122161,4129333,4139251,4111785,3600000,3600000,3600000,3600000,3600000,3600000,3600000,4123992,4132537,4126892,-373,85,85,85,85,85,85,85,85,85,85,85,85,85,85,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682113478
4122772,4129638,4138793,4111938,3600000,3600000,3600000,3600000,3600000,3600000,3600000,4124450,4132385,4127197,-373,85,85,85,85,85,85,85,85,85,85,85,85,85,85,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682113479
4122619,4129486,4139556,4112548,3600000,3600000,3600000,3600000,3600000,3600000,3600000,4124755,4132690,4127960,-373,85,85,85,85,85,85,85,85,85,85,85,85,85,85,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682113480
4122467,4129333,4139251,4112396,3600000,3600000,3600000,3600000,3600000,3600000,3600000,4125213,4132690,4127807,-373,85,85,85,85,85,85,85,85,85,85,85,85,85,85,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682113481
