cellVoltage_1,cellVoltage_2,cellVoltage_3,cellVoltage_4,cellVoltage_5,cellVoltage_6,cellVoltage_7,cellVoltage_8,cellVoltage_9,cellVoltage_10,cellVoltage_11,cellVoltage_12,cellVoltage_13,cellVoltage_14,packCurrent,cellSoC_1,cellSoC_2,cellSoC_3,cellSoC_4,cellSoC_5,cellSoC_6,cellSoC_7,cellSoC_8,cellSoC_9,cellSoC_10,cellSoC_11,cellSoC_12,cellSoC_13,cellSoC_14,cellSoH_1,cellSoH_2,cellSoH_3,cellSoH_4,cellSoH_5,cellSoH_6,cellSoH_7,cellSoH_8,cellSoH_9,cellSoH_10,cellSoH_11,cellSoH_12,cellSoH_13,cellSoH_14,equivalentFullCycle,Date
2063598,2090148,2096710,2047882,2010040,2090606,2131195,2109222,2032623,2072753,2104187,2054290,2050933,2195129,-184,755,873,915,676,480,877,1070,778,609,799,953,721,700,1211,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670518967
2064056,2090148,2096099,2048187,2010192,2090759,2131042,2108459,2033233,2073211,2104644,2054901,2050628,2194671,-184,755,873,915,676,480,877,1070,778,609,799,953,721,700,1211,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670518968
2063446,2089691,2096405,2047424,2009887,2090606,2131195,2108764,2032470,2072448,2104339,2054138,2050781,2194366,-183,755,873,915,676,480,877,1070,778,609,799,953,721,700,1211,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670518969
2064208,2090606,2097015,2047882,2009735,2090606,2131805,2108917,2032165,2072601,2103729,2053833,2050933,2194213,-183,755,873,915,676,480,877,1070,778,609,799,953,721,700,1211,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670518970
2063598,2089843,2096710,2048187,2009429,2090606,2130889,2108917,2032623,2072601,2104949,2055053,2050628,2193908,-184,755,873,915,676,480,877,1070,778,609,799,953,721,700,1211,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670518971
2063598,2089843,2096405,2047729,2010498,2091064,2130737,2107696,2032318,2072296,2104949,2054443,2050628,2194213,-184,755,873,915,676,480,877,1070,778,609,799,953,721,700,1211,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670518972
2063293,2089843,2096862,2047576,2010192,2091369,2130737,2108306,2033386,2073059,2104644,2055053,2050781,2194824,-183,755,873,915,676,480,877,1070,778,609,799,953,721,700,1211,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670518973
2063598,2090606,2096557,2047882,2010803,2091369,2131652,2109222,2033233,2072601,2104492,2054748,2050781,2194519,-183,755,873,915,676,480,877,1070,778,609,799,953,721,700,1211,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670518974
2063446,2090148,2096862,2048034,2010192,2091064,2130432,2108459,2032470,2072448,2104034,2054443,2050781,2194671,-183,755,873,915,676,480,877,1070,778,609,799,953,721,700,1211,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670518975
2063903,2089691,2096557,2047576,2010650,2090911,2131500,2108306,2032928,2073211,2104644,2054138,2050628,2194519,-183,755,873,915,676,480,877,1070,778,609,799,953,721,700,1211,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670518976
2064056,2090301,2096710,2048187,2009429,2090454,2130889,2108612,2032470,2072906,2104339,2054290,2050476,2194366,-183,755,873,915,676,480,877,1070,778,609,799,953,721,700,1211,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670518977
2063598,2089996,2096710,2048339,2010498,2091064,2131195,2108306,2032623,2072601,2104492,2054595,2051086,2194213,-183,755,873,915,676,480,877,1070,778,609,799,953,721,700,1211,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670518978
2064056,2090454,2096557,2048187,2010345,2090606,2130584,2108001,2032775,2072601,2104797,2055206,2051086,2194213,-183,755,873,915,676,480,877,1070,778,609,799,953,721,700,1211,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670518979
2062988,2089843,2097015,2047882,2009735,2090911,2130584,2107696,2032775,2072296,2104339,2054290,2050933,2194519,-183,755,873,915,676,480,877,1070,778,609,799,953,721,700,1211,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670518980
2063751,2090148,2096405,2047729,2010650,2091522,2131347,2108459,2032928,2072753,2104492,2054595,2051086,2194366,-183,755,873,915,676,480,877,1070,778,609,799,953,721,700,1211,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670518981
2064208,2090606,2097015,2047882,2010192,2091217,2131500,2108154,2032165,2072906,2104949,2054595,2050781,2194519,-183,755,873,915,676,480,877,1070,778,609,799,953,721,700,1211,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670518982
