cellVoltage_1,cellVoltage_2,cellVoltage_3,cellVoltage_4,cellVoltage_5,cellVoltage_6,cellVoltage_7,cellVoltage_8,cellVoltage_9,cellVoltage_10,cellVoltage_11,cellVoltage_12,cellVoltage_13,cellVoltage_14,packCurrent,cellSoC_1,cellSoC_2,cellSoC_3,cellSoC_4,cellSoC_5,cellSoC_6,cellSoC_7,cellSoC_8,cellSoC_9,cellSoC_10,cellSoC_11,cellSoC_12,cellSoC_13,cellSoC_14,cellSoH_1,cellSoH_2,cellSoH_3,cellSoH_4,cellSoH_5,cellSoH_6,cellSoH_7,cellSoH_8,cellSoH_9,cellSoH_10,cellSoH_11,cellSoH_12,cellSoH_13,cellSoH_14,equivalentFullCycle,cellCB_1,cellCB_2,cellCB_3,cellCB_4,cellCB_5,cellCB_6,cellCB_7,cellCB_8,cellCB_9,cellCB_10,cellCB_11,cellCB_12,cellCB_13,cellCB_14,Date
2064819,1982421,2091522,2012023,2018890,2058868,2038879,2052154,2005004,2107696,1994171,2018432,2061157,2014923,53,484,496,487,498,498,494,483,492,510,490,497,497,452,498,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1679935802
2065277,1982574,2092132,2012176,2019042,2058410,2038726,2052612,2003784,2107696,1993255,2017059,2061462,2014465,53,484,496,487,498,498,494,483,492,510,490,497,497,452,498,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1679935803
2065124,1981506,2091979,2012023,2018890,2059783,2038879,2052154,2004089,2107391,1993255,2017669,2061309,2014007,53,484,496,487,498,498,494,483,492,510,490,497,497,452,498,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1679935804
2065429,1981811,2092590,2011718,2017822,2058868,2039489,2052459,2003631,2106628,1993713,2017669,2061157,2014312,53,484,496,487,498,498,494,483,492,510,490,497,497,452,498,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1679935805
2065734,1981811,2091979,2010803,2018280,2059478,2039642,2052612,2004394,2107696,1994018,2017364,2061004,2013397,53,484,496,487,498,498,494,483,492,510,490,497,497,452,498,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1679935806
2065277,1981658,2091979,2011108,2017517,2058563,2039794,2053222,2004089,2108154,1993103,2017669,2061462,2014007,53,484,496,487,498,498,494,483,492,510,490,497,497,452,498,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1679935808
2065734,1981506,2091979,2010650,2017517,2058868,2039642,2053375,2003936,2107391,1993408,2016906,2060546,2013397,53,484,496,487,498,498,494,483,492,510,490,497,497,452,498,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1679935809
2066497,1981506,2092437,2010498,2017211,2058410,2039489,2052764,2004089,2107849,1993103,2017211,2061157,2013702,53,484,496,487,498,498,494,483,492,510,490,497,497,452,498,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1679935810
2065887,1981506,2091979,2010803,2017364,2058715,2039337,2053833,2004241,2108001,1992950,2017211,2061462,2014160,53,484,496,487,498,498,494,483,492,510,490,497,497,452,498,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1679935811
2066040,1981048,2092285,2010498,2017822,2059173,2040100,2052917,2003479,2107696,1993103,2016448,2060852,2013092,53,484,496,487,498,498,494,483,492,510,490,497,497,452,498,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1679935812
