cellVoltage_1,cellVoltage_2,cellVoltage_3,cellVoltage_4,cellVoltage_5,cellVoltage_6,cellVoltage_7,cellVoltage_8,cellVoltage_9,cellVoltage_10,cellVoltage_11,cellVoltage_12,cellVoltage_13,cellVoltage_14,packCurrent,cellSoC_1,cellSoC_2,cellSoC_3,cellSoC_4,cellSoC_5,cellSoC_6,cellSoC_7,cellSoC_8,cellSoC_9,cellSoC_10,cellSoC_11,cellSoC_12,cellSoC_13,cellSoC_14,cellSoH_1,cellSoH_2,cellSoH_3,cellSoH_4,cellSoH_5,cellSoH_6,cellSoH_7,cellSoH_8,cellSoH_9,cellSoH_10,cellSoH_11,cellSoH_12,cellSoH_13,cellSoH_14,equivalentFullCycle,Date
1992187,2360992,2202606,2154388,1952362,2337799,2172546,2161254,2227783,2293243,2224578,2137603,2023315,1870422,486,199,999,999,971,9,999,999,999,999,999,999,886,346,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670608552
1991882,2360687,2203521,2154998,1952209,2337646,2172698,2161407,2228240,2293548,2224121,2136840,2022705,1869506,488,199,999,999,971,9,999,999,999,999,999,999,886,346,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670608553
1991882,2360992,2203216,2155151,1952056,2337188,2173309,2162017,2228851,2293853,2224884,2137908,2023162,1870574,489,199,999,999,971,9,999,999,999,999,999,999,886,346,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670608554
1992492,2361145,2202911,2154846,1951904,2337341,2171936,2160797,2227935,2292938,2224578,2137451,2023010,1870422,489,199,999,999,971,9,999,999,999,999,999,999,886,346,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670608555
1991882,2360839,2203063,2154693,1951599,2337188,2171936,2161407,2227630,2292480,2224426,2137603,2022399,1869812,486,199,999,999,971,9,999,999,999,999,999,999,886,346,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670608556
1992034,2360534,2203521,2155456,1952056,2337799,2173004,2161407,2227783,2292785,2224731,2137451,2023162,1870117,489,199,999,999,971,9,999,999,999,999,999,999,886,346,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670608557
1991882,2360992,2202453,2154693,1952056,2337188,2172546,2161560,2227783,2292480,2224731,2137298,2022399,1869354,485,199,999,999,971,9,999,999,999,999,999,999,886,346,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670608558
1992034,2360534,2203369,2154998,1952056,2336883,2172698,2161560,2227478,2292327,2224884,2137603,2023162,1870269,486,199,999,999,971,9,999,999,999,999,999,999,886,346,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670608559
1992492,2361297,2203216,2154541,1951751,2337493,2172851,2161254,2227783,2292785,2225036,2137603,2023162,1870422,487,199,999,999,971,9,999,999,999,999,999,999,886,346,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670608560
1992034,2360992,2202758,2154693,1952362,2337646,2172698,2161254,2228393,2292633,2224884,2136993,2022705,1869964,493,199,999,999,971,9,999,999,999,999,999,999,886,346,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670608561
1992797,2360992,2203216,2154998,1951599,2337493,2172698,2162017,2228088,2292480,2225036,2137603,2023315,1870269,486,199,999,999,971,9,999,999,999,999,999,999,886,346,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670608562
1992340,2360992,2203063,2154998,1952362,2337799,2172851,2160949,2227935,2293548,2224273,2137298,2022857,1870574,486,199,999,999,971,9,999,999,999,999,999,999,886,346,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670608563
1992340,2361145,2203369,2155151,1952209,2337341,2172851,2162017,2227172,2292633,2224884,2137451,2023315,1870117,483,199,999,999,971,9,999,999,999,999,999,999,886,346,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670608565
1992492,2360534,2202758,2154846,1952056,2337646,2173309,2161407,2228088,2292633,2224273,2137298,2022552,1869812,487,199,999,999,971,9,999,999,999,999,999,999,886,346,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670608566
1992187,2360839,2203369,2154846,1951904,2337188,2172546,2161254,2228088,2293090,2224426,2137145,2022705,1870422,488,199,999,999,971,9,999,999,999,999,999,999,886,346,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670608567
1992034,2360992,2202606,2154846,1952056,2337493,2172393,2161254,2228393,2293243,2224426,2138061,2023162,1870422,490,199,999,999,971,9,999,999,999,999,999,999,886,346,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670608568
1992187,2361450,2203674,2154998,1952056,2337188,2172851,2161254,2227630,2292785,2224731,2137451,2023620,1870880,484,199,999,999,971,9,999,999,999,999,999,999,886,346,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670608569
1992187,2360687,2203216,2154235,1951446,2337341,2173004,2161865,2227783,2292633,2224884,2137908,2022857,1870117,486,198,998,998,970,8,998,998,998,998,998,998,885,345,-1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670608570
1992492,2360076,2203521,2155456,1952056,2337036,2172546,2161407,2228393,2292938,2225036,2137908,2022399,1870574,485,198,998,998,970,8,998,998,998,998,998,998,885,345,-1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670608571
1992492,2360839,2203369,2155456,1952209,2337188,2172698,2161712,2227935,2292175,2224426,2137298,2023315,1870117,489,198,998,998,970,8,998,998,998,998,998,998,885,345,-1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670608572
1992492,2360839,2203369,2154693,1952056,2337341,2173004,2161407,2227935,2292938,2225036,2137756,2022857,1869812,485,198,998,998,970,8,998,998,998,998,998,998,885,345,-1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1670608573
