cellVoltage_1,cellVoltage_2,cellVoltage_3,cellVoltage_4,cellVoltage_5,cellVoltage_6,cellVoltage_7,cellVoltage_8,cellVoltage_9,cellVoltage_10,cellVoltage_11,cellVoltage_12,cellVoltage_13,cellVoltage_14,packCurrent,cellSoC_1,cellSoC_2,cellSoC_3,cellSoC_4,cellSoC_5,cellSoC_6,cellSoC_7,cellSoC_8,cellSoC_9,cellSoC_10,cellSoC_11,cellSoC_12,cellSoC_13,cellSoC_14,cellSoH_1,cellSoH_2,cellSoH_3,cellSoH_4,cellSoH_5,cellSoH_6,cellSoH_7,cellSoH_8,cellSoH_9,cellSoH_10,cellSoH_11,cellSoH_12,cellSoH_13,cellSoH_14,equivalentFullCycle,Date
1916046,1916809,1984863,1724243,1865997,1891021,1939392,1822967,1972351,2313995,1996917,1954345,2231140,2094421,-510,282,284,469,204,204,239,337,204,422,1202,522,378,1202,919,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671013394
1914978,1916198,1984710,1723327,1866455,1891021,1939239,1823425,1972503,2314147,1996612,1954345,2231292,2094573,-510,283,285,470,205,205,240,338,205,423,1203,523,379,1203,920,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671013395
1915283,1916656,1985168,1724395,1865692,1890411,1939086,1822814,1971435,2313690,1996765,1954498,2231750,2094116,-510,283,285,470,205,205,240,338,205,423,1203,523,379,1203,920,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671013396
1915740,1917419,1985778,1723632,1865997,1890716,1939086,1823120,1971740,2313385,1997680,1955108,2231140,2094116,-510,283,285,470,205,205,240,338,205,423,1203,523,379,1203,920,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671013397
1914978,1916198,1985473,1723785,1866455,1890716,1938629,1821899,1971130,2313079,1996612,1954650,2232360,2094268,-510,283,285,470,205,205,240,338,205,423,1203,523,379,1203,920,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671013398
1916046,1917266,1984710,1723937,1866455,1890869,1938476,1822814,1971740,2313537,1997070,1954956,2231903,2094268,-510,283,285,470,205,205,240,338,205,423,1203,523,379,1203,920,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671013399
1916351,1917114,1984710,1723632,1865997,1891021,1938781,1823120,1971435,2313232,1996917,1954498,2231445,2093963,-510,283,285,470,205,205,240,338,205,423,1203,523,379,1203,920,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671013400
1915588,1916809,1985015,1724090,1866607,1891174,1938629,1822204,1972045,2313995,1997070,1954803,2232055,2093811,-510,283,285,470,205,205,240,338,205,423,1203,523,379,1203,920,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671013401
1916351,1917114,1984558,1723785,1865692,1890106,1939239,1823577,1971893,2313842,1997375,1954956,2231903,2094421,-510,283,285,470,205,205,240,338,205,423,1203,523,379,1203,920,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671013402
1916046,1916351,1985473,1723632,1866607,1890869,1939392,1823425,1971893,2314147,1996917,1954803,2231750,2094268,-510,283,285,470,205,205,240,338,205,423,1203,523,379,1203,920,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671013403
1915283,1916351,1985168,1724243,1866455,1891021,1939086,1822814,1971282,2313995,1996917,1954498,2231292,2093505,-510,283,285,470,205,205,240,338,205,423,1203,523,379,1203,920,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671013404
1915893,1916809,1985168,1723480,1865844,1891021,1938781,1822814,1972198,2313995,1997375,1954345,2231597,2094268,-511,283,285,470,205,205,240,338,205,423,1203,523,379,1203,920,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671013405
1915283,1916503,1985015,1724090,1866149,1891326,1939392,1823120,1971588,2313842,1997222,1955413,2231750,2094268,-510,283,285,470,205,205,240,338,205,423,1203,523,379,1203,920,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671013406
1916046,1916809,1985321,1723785,1866302,1890869,1939239,1823272,1970977,2313537,1996917,1954650,2232208,2094726,-511,283,285,470,205,205,240,338,205,423,1203,523,379,1203,920,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671013407
1915740,1916351,1984863,1723937,1865997,1890869,1939392,1823120,1971740,2313842,1996612,1954956,2232055,2094879,-510,283,285,470,205,205,240,338,205,423,1203,523,379,1203,920,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671013408
1915588,1916503,1984710,1723480,1866302,1890716,1938781,1822662,1971893,2314453,1996459,1954345,2232055,2094421,-510,283,285,470,205,205,240,338,205,423,1203,523,379,1203,920,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671013409
1915893,1917266,1984863,1723327,1865997,1890716,1939392,1823425,1971740,2313690,1997375,1954650,2231445,2094116,-511,283,285,470,205,205,240,338,205,423,1203,523,379,1203,920,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671013410
1915435,1916961,1984710,1724090,1865997,1890869,1939239,1823425,1971282,2313232,1997070,1954498,2231597,2094421,-510,283,285,470,205,205,240,338,205,423,1203,523,379,1203,920,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671013411
1915588,1916656,1985168,1724395,1866607,1890869,1939086,1822967,1971588,2313537,1997222,1954956,2231750,2094268,-510,284,286,471,206,206,241,339,206,424,1204,524,380,1204,921,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671013412
1915283,1916503,1985778,1724548,1865997,1891021,1939392,1823425,1972351,2314453,1997528,1954498,2230987,2093811,-510,284,286,471,206,206,241,339,206,424,1204,524,380,1204,921,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671013413
1916198,1916656,1985321,1723480,1866607,1891479,1939392,1822967,1971435,2313537,1997833,1954956,2232208,2094268,-510,284,286,471,206,206,241,339,206,424,1204,524,380,1204,921,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671013414
