cellVoltage_1,cellVoltage_2,cellVoltage_3,cellVoltage_4,cellVoltage_5,cellVoltage_6,cellVoltage_7,cellVoltage_8,cellVoltage_9,cellVoltage_10,cellVoltage_11,cellVoltage_12,cellVoltage_13,cellVoltage_14,packCurrent,cellSoC_1,cellSoC_2,cellSoC_3,cellSoC_4,cellSoC_5,cellSoC_6,cellSoC_7,cellSoC_8,cellSoC_9,cellSoC_10,cellSoC_11,cellSoC_12,cellSoC_13,cellSoC_14,cellSoH_1,cellSoH_2,cellSoH_3,cellSoH_4,cellSoH_5,cellSoH_6,cellSoH_7,cellSoH_8,cellSoH_9,cellSoH_10,cellSoH_11,cellSoH_12,cellSoH_13,cellSoH_14,equivalentFullCycle,Date
2160034,2158966,1833496,1926879,1896667,1895599,2133026,1877899,1969451,2314605,2122650,2122497,2230377,2097320,452,216,204,-732,-627,-688,-689,113,-720,-518,267,94,90,267,-3,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671113799
2160644,2159118,1833038,1927337,1896820,1895294,2132415,1877899,1968536,2314300,2123718,2123107,2230529,2097473,449,216,204,-732,-627,-688,-689,113,-720,-518,267,94,90,267,-3,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671113800
2160034,2158355,1833648,1927490,1896209,1895141,2132415,1877136,1968841,2314605,2123107,2122344,2230377,2097473,450,216,204,-732,-627,-688,-689,113,-720,-518,267,94,90,267,-3,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671113801
2160339,2158966,1834259,1927642,1897277,1895599,2133026,1877899,1969299,2314758,2123413,2122650,2229919,2097015,452,216,204,-732,-627,-688,-689,113,-720,-518,267,94,90,267,-3,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671113802
2160491,2158813,1833343,1927490,1896667,1895599,2132568,1877288,1969909,2315216,2123565,2123107,2230529,2098083,449,216,204,-732,-627,-688,-689,113,-720,-518,267,94,90,267,-3,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671113803
2160644,2158966,1834259,1928405,1896972,1895751,2132415,1877441,1969604,2314605,2123565,2122802,2230072,2096862,451,216,204,-732,-627,-688,-689,113,-720,-518,267,94,90,267,-3,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671113804
2160491,2159118,1833953,1927185,1896362,1895446,2133483,1878356,1969604,2315216,2122650,2122650,2230377,2097473,452,216,204,-732,-627,-688,-689,113,-720,-518,267,94,90,267,-3,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671113805
2160797,2159271,1834106,1926879,1896362,1895141,2132568,1878967,1970367,2315063,2123107,2122650,2230377,2097625,448,216,204,-732,-627,-688,-689,113,-720,-518,267,94,90,267,-3,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671113806
2160186,2158813,1833190,1927185,1896667,1895141,2133026,1878204,1969909,2315521,2123870,2123107,2230682,2097778,452,216,204,-732,-627,-688,-689,113,-720,-518,267,94,90,267,-3,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671113807
2160339,2158660,1833953,1927795,1897125,1895904,2132568,1877899,1969451,2314300,2123260,2122802,2230377,2097778,455,216,204,-732,-627,-688,-689,113,-720,-518,267,94,90,267,-3,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671113808
2160491,2158508,1833801,1927337,1896362,1894836,2131958,1877441,1969451,2314147,2122344,2122497,2229919,2097167,449,216,204,-732,-627,-688,-689,113,-720,-518,267,94,90,267,-3,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671113809
2160644,2158813,1833953,1927185,1896057,1895141,2132720,1878204,1968994,2314758,2123107,2122955,2230072,2097473,451,216,204,-732,-627,-688,-689,113,-720,-518,267,94,90,267,-3,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671113810
2160797,2158813,1834259,1927795,1896667,1895446,2132263,1878051,1968841,2314453,2122955,2122650,2230682,2097473,450,216,204,-732,-627,-688,-689,113,-720,-518,267,94,90,267,-3,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671113811
2160797,2159118,1833953,1927337,1896514,1895141,2132415,1878204,1969299,2314453,2123413,2122497,2229919,2097473,448,216,204,-732,-627,-688,-689,113,-720,-518,267,94,90,267,-3,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671113812
