cellVoltage_1,cellVoltage_2,cellVoltage_3,cellVoltage_4,cellVoltage_5,cellVoltage_6,cellVoltage_7,cellVoltage_8,cellVoltage_9,cellVoltage_10,cellVoltage_11,cellVoltage_12,cellVoltage_13,cellVoltage_14,packCurrent,cellSoC_1,cellSoC_2,cellSoC_3,cellSoC_4,cellSoC_5,cellSoC_6,cellSoC_7,cellSoC_8,cellSoC_9,cellSoC_10,cellSoC_11,cellSoC_12,cellSoC_13,cellSoC_14,cellSoH_1,cellSoH_2,cellSoH_3,cellSoH_4,cellSoH_5,cellSoH_6,cellSoH_7,cellSoH_8,cellSoH_9,cellSoH_10,cellSoH_11,cellSoH_12,cellSoH_13,cellSoH_14,equivalentFullCycle,cellCB_1,cellCB_2,cellCB_3,cellCB_4,cellCB_5,cellCB_6,cellCB_7,cellCB_8,cellCB_9,cellCB_10,cellCB_11,cellCB_12,cellCB_13,cellCB_14,Date
2149353,2140045,2141723,2139739,2142333,2138214,2144622,2070159,2196502,2147369,2152557,2141113,2143859,2123870,-497,393,371,365,373,371,351,387,204,458,335,369,367,393,252,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1678891714
2150268,2140502,2142486,2140502,2142333,2138061,2144165,2069854,2196502,2147216,2152099,2140808,2143554,2124176,-497,393,371,365,373,371,351,387,204,458,335,369,367,393,252,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1678891715
2149200,2139739,2141876,2140502,2141723,2137451,2144927,2070312,2196807,2147979,2152862,2141876,2144165,2124023,-497,393,371,365,373,371,351,387,204,458,335,369,367,393,252,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1678891716
2149200,2139892,2142181,2139892,2141571,2136993,2144775,2070312,2197265,2148590,2152862,2141418,2144317,2123718,-497,393,371,365,373,371,351,387,204,458,335,369,367,393,252,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1678891717
2149047,2140197,2142639,2140350,2141723,2136688,2144470,2070312,2197418,2147827,2152557,2141418,2144775,2124176,-497,393,371,365,373,371,351,387,204,458,335,369,367,393,252,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1678891718
2148742,2139434,2142486,2140808,2141571,2136993,2144317,2070007,2197113,2148284,2152252,2141265,2144470,2124481,-497,393,371,365,373,371,351,387,204,458,335,369,367,393,252,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1678891719
2149047,2139892,2142333,2140502,2141876,2137298,2144317,2070312,2197265,2148590,2152099,2141113,2144622,2124786,-497,393,371,365,373,371,351,387,204,458,335,369,367,393,252,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1678891720
2149658,2140045,2142028,2140502,2141723,2137908,2144622,2069549,2196655,2147674,2152557,2141113,2144775,2124023,-497,393,371,365,373,371,351,387,204,458,335,369,367,393,252,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1678891721
2149963,2140197,2141876,2140502,2142333,2137451,2144775,2070465,2196960,2147979,2152862,2141571,2143859,2124176,-497,393,371,365,373,371,351,387,204,458,335,369,367,393,252,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1678891722
2150268,2140350,2142486,2140655,2141876,2137603,2144927,2069549,2197265,2147979,2152709,2141571,2144317,2124176,-497,393,371,365,373,371,351,387,204,458,335,369,367,393,252,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1678891723
