cellVoltage_1,cellVoltage_2,cellVoltage_3,cellVoltage_4,cellVoltage_5,cellVoltage_6,cellVoltage_7,cellVoltage_8,cellVoltage_9,cellVoltage_10,cellVoltage_11,cellVoltage_12,cellVoltage_13,cellVoltage_14,packCurrent,cellSoC_1,cellSoC_2,cellSoC_3,cellSoC_4,cellSoC_5,cellSoC_6,cellSoC_7,cellSoC_8,cellSoC_9,cellSoC_10,cellSoC_11,cellSoC_12,cellSoC_13,cellSoC_14,cellSoH_1,cellSoH_2,cellSoH_3,cellSoH_4,cellSoH_5,cellSoH_6,cellSoH_7,cellSoH_8,cellSoH_9,cellSoH_10,cellSoH_11,cellSoH_12,cellSoH_13,cellSoH_14,equivalentFullCycle,cellCB_1,cellCB_2,cellCB_3,cellCB_4,cellCB_5,cellCB_6,cellCB_7,cellCB_8,cellCB_9,cellCB_10,cellCB_11,cellCB_12,cellCB_13,cellCB_14,Date
1986694,2008361,2003784,1987915,1984863,2009735,1989593,1935729,2008361,1997222,2009124,1986999,1997222,1963348,-65,378,346,335,336,342,317,368,121,471,298,345,350,376,199,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1678811469
1986389,2007904,2004394,1988677,1984710,2009277,1989440,1935729,2008666,1997833,2008972,1986846,1996612,1963195,-65,378,346,335,336,342,317,368,121,471,298,345,350,376,199,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1678811470
1986389,2007904,2003784,1988677,1984405,2008819,1990203,1936035,2009277,1997528,2009277,1986999,1996917,1963500,-65,378,346,335,336,342,317,368,121,471,298,345,350,376,199,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1678811471
1986541,2008209,2004699,1989593,1985168,2009735,1989898,1936035,2008972,1997680,2008819,1986694,1996612,1963958,-65,378,346,335,336,342,317,368,121,471,298,345,350,376,199,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1678811472
1986694,2007904,2003631,1988525,1984710,2009124,1989593,1936340,2008056,1996612,2008972,1986694,1995849,1963043,-65,378,346,335,336,342,317,368,121,471,298,345,350,376,199,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1678811473
1986083,2007446,2003936,1988677,1983947,2008819,1989898,1935577,2008361,1997222,2008819,1986083,1996917,1963806,-65,378,346,335,336,342,317,368,121,471,298,345,350,376,199,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1678811474
1986236,2007446,2003784,1988372,1984710,2009124,1989746,1936035,2008209,1997528,2008361,1986694,1995849,1962738,-65,378,346,335,336,342,317,368,121,471,298,345,350,376,199,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1678811475
1986236,2007751,2003631,1989135,1984710,2009582,1988677,1935119,2009124,1997070,2009277,1986389,1996917,1963195,-65,378,346,335,336,342,317,368,121,471,298,345,350,376,199,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1678811476
1986999,2008209,2003631,1988220,1984558,2009124,1989593,1935882,2008056,1997375,2009124,1986999,1996917,1963806,-65,378,346,335,336,342,317,368,121,471,298,345,350,376,199,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1678811477
1986541,2007904,2003784,1988677,1984405,2008819,1989288,1935729,2007904,1997375,2008819,1985626,1996917,1963348,-65,378,346,335,336,342,317,368,121,471,298,345,350,376,199,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1678811478
