cellVoltage_1,cellVoltage_2,cellVoltage_3,cellVoltage_4,cellVoltage_5,cellVoltage_6,cellVoltage_7,cellVoltage_8,cellVoltage_9,cellVoltage_10,cellVoltage_11,cellVoltage_12,cellVoltage_13,cellVoltage_14,packCurrent,cellSoC_1,cellSoC_2,cellSoC_3,cellSoC_4,cellSoC_5,cellSoC_6,cellSoC_7,cellSoC_8,cellSoC_9,cellSoC_10,cellSoC_11,cellSoC_12,cellSoC_13,cellSoC_14,cellSoH_1,cellSoH_2,cellSoH_3,cellSoH_4,cellSoH_5,cellSoH_6,cellSoH_7,cellSoH_8,cellSoH_9,cellSoH_10,cellSoH_11,cellSoH_12,cellSoH_13,cellSoH_14,equivalentFullCycle,Date
1915130,1916809,1985321,1723632,1864776,1890411,1938629,1822204,1970977,2312927,1995849,1953582,2230377,2092742,-267,855,857,1041,777,777,812,910,777,995,1775,1094,951,1775,1491,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671024293
1915435,1917266,1985473,1723480,1864929,1889801,1938934,1822204,1971893,2312927,1996307,1954193,2231292,2093505,-266,855,857,1041,777,777,812,910,777,995,1775,1094,951,1775,1491,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671024294
1915283,1916961,1985473,1723937,1864624,1889953,1938629,1822357,1970977,2312774,1996002,1953582,2231140,2093963,-267,855,857,1041,777,777,812,910,777,995,1775,1094,951,1775,1491,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671024295
1915588,1916503,1985931,1724243,1865386,1890563,1938629,1822357,1970977,2312469,1996307,1954040,2230072,2093353,-267,855,857,1041,777,777,812,910,777,995,1775,1094,951,1775,1491,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671024296
1915588,1917114,1985626,1723785,1865234,1890869,1938629,1822204,1970977,2312774,1996154,1953582,2230682,2092742,-266,855,857,1041,777,777,812,910,777,995,1775,1094,951,1775,1491,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671024297
1915588,1916809,1985321,1724090,1865234,1889953,1937866,1822052,1970977,2312927,1995697,1953887,2231140,2093658,-266,855,857,1041,777,777,812,910,777,995,1775,1094,951,1775,1491,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671024298
1915588,1917572,1985626,1724395,1864471,1890411,1938781,1822814,1970825,2312774,1996917,1954956,2230529,2093048,-266,855,857,1041,777,777,812,910,777,995,1775,1094,951,1775,1491,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671024299
1914978,1917419,1985778,1724853,1865997,1891021,1938934,1822357,1971282,2312469,1996612,1953735,2230987,2093505,-266,855,857,1041,777,777,812,910,777,995,1775,1094,951,1775,1491,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671024300
1915435,1917572,1985626,1724395,1865386,1890716,1938018,1822052,1971130,2312774,1996459,1954040,2231597,2093505,-266,855,857,1041,777,777,812,910,777,995,1775,1094,951,1775,1491,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671024301
1916046,1917114,1985931,1724853,1864929,1889801,1938476,1821899,1970214,2312164,1996459,1954193,2231445,2094116,-267,855,857,1041,777,777,812,910,777,995,1775,1094,951,1775,1491,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671024302
1915588,1916961,1985473,1724548,1865234,1890411,1938476,1821594,1970672,2312316,1996002,1954040,2230682,2093658,-266,856,858,1042,778,778,813,911,778,996,1776,1095,952,1776,1492,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671024303
1915435,1916809,1985168,1724243,1865539,1890411,1938934,1822509,1970825,2312469,1996307,1954040,2230987,2093505,-266,856,858,1042,778,778,813,911,778,996,1776,1095,952,1776,1492,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671024304
1916046,1917419,1985321,1723937,1864929,1890563,1938629,1821899,1970977,2312774,1996307,1953735,2230834,2093353,-266,856,858,1042,778,778,813,911,778,996,1776,1095,952,1776,1492,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671024305
1915435,1916656,1985321,1724243,1865234,1890258,1938171,1821899,1970672,2312316,1995849,1953582,2230987,2093353,-266,856,858,1042,778,778,813,911,778,996,1776,1095,952,1776,1492,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671024306
1915283,1916809,1985626,1723785,1865997,1890106,1939086,1822662,1970825,2312622,1996002,1953887,2230377,2093200,-266,856,858,1042,778,778,813,911,778,996,1776,1095,952,1776,1492,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671024307
1915588,1916961,1985015,1723480,1865081,1890563,1938171,1821899,1970672,2312164,1996154,1953887,2231140,2093658,-265,856,858,1042,778,778,813,911,778,996,1776,1095,952,1776,1492,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671024308
