cellVoltage_1,cellVoltage_2,cellVoltage_3,cellVoltage_4,cellVoltage_5,cellVoltage_6,cellVoltage_7,cellVoltage_8,cellVoltage_9,cellVoltage_10,cellVoltage_11,cellVoltage_12,cellVoltage_13,cellVoltage_14,packCurrent,cellSoC_1,cellSoC_2,cellSoC_3,cellSoC_4,cellSoC_5,cellSoC_6,cellSoC_7,cellSoC_8,cellSoC_9,cellSoC_10,cellSoC_11,cellSoC_12,cellSoC_13,cellSoC_14,cellSoH_1,cellSoH_2,cellSoH_3,cellSoH_4,cellSoH_5,cellSoH_6,cellSoH_7,cellSoH_8,cellSoH_9,cellSoH_10,cellSoH_11,cellSoH_12,cellSoH_13,cellSoH_14,equivalentFullCycle,Date
2160644,2161865,1834259,1927185,1896362,1895599,2130279,1877136,1969451,2315063,2123565,2122802,2229156,2096710,456,581,569,-367,-262,-323,-324,478,-355,-153,632,459,455,632,362,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671106562
2160949,2162170,1833648,1926574,1896820,1895599,2130432,1878051,1969451,2314910,2123413,2123565,2230377,2097778,452,581,569,-367,-262,-323,-324,478,-355,-153,632,459,455,632,362,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671106563
2160797,2161560,1833343,1927032,1896514,1895446,2130889,1877746,1969604,2315216,2123260,2122650,2229919,2096862,457,581,569,-367,-262,-323,-324,478,-355,-153,632,459,455,632,362,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671106564
2161254,2162170,1833496,1926574,1896514,1895751,2130432,1877899,1969451,2315216,2123565,2123260,2230529,2097473,459,581,569,-367,-262,-323,-324,478,-355,-153,632,459,455,632,362,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671106565
2160949,2162170,1833496,1927032,1896209,1895751,2130279,1877593,1968994,2313995,2123260,2123413,2230529,2097167,458,581,569,-367,-262,-323,-324,478,-355,-153,632,459,455,632,362,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671106566
2160491,2161712,1833648,1927337,1896514,1895599,2130279,1877441,1969451,2315063,2123718,2123565,2230987,2098083,455,581,569,-367,-262,-323,-324,478,-355,-153,632,459,455,632,362,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671106567
2160491,2161254,1833496,1926727,1896820,1895904,2131195,1878051,1969451,2314910,2123107,2122955,2230682,2097625,452,581,569,-367,-262,-323,-324,478,-355,-153,632,459,455,632,362,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671106568
2160949,2161865,1833190,1926879,1896972,1895751,2130126,1877899,1969451,2315063,2122497,2122497,2229919,2097167,455,581,569,-367,-262,-323,-324,478,-355,-153,632,459,455,632,362,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671106569
2160949,2161865,1833343,1927032,1896362,1895141,2130279,1877441,1969451,2315216,2123260,2122802,2229614,2097320,460,581,569,-367,-262,-323,-324,478,-355,-153,632,459,455,632,362,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671106570
2160644,2162017,1833953,1927490,1896820,1895751,2130432,1878356,1969757,2315063,2122802,2122497,2230529,2097320,460,581,569,-367,-262,-323,-324,478,-355,-153,632,459,455,632,362,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1671106571
