cellVoltage_1,cellVoltage_2,cellVoltage_3,cellVoltage_4,cellVoltage_5,cellVoltage_6,cellVoltage_7,cellVoltage_8,cellVoltage_9,cellVoltage_10,cellVoltage_11,cellVoltage_12,cellVoltage_13,cellVoltage_14,packCurrent,cellSoC_1,cellSoC_2,cellSoC_3,cellSoC_4,cellSoC_5,cellSoC_6,cellSoC_7,cellSoC_8,cellSoC_9,cellSoC_10,cellSoC_11,cellSoC_12,cellSoC_13,cellSoC_14,cellSoH_1,cellSoH_2,cellSoH_3,cellSoH_4,cellSoH_5,cellSoH_6,cellSoH_7,cellSoH_8,cellSoH_9,cellSoH_10,cellSoH_11,cellSoH_12,cellSoH_13,cellSoH_14,equivalentFullCycle,cellCB_1,cellCB_2,cellCB_3,cellCB_4,cellCB_5,cellCB_6,cellCB_7,cellCB_8,cellCB_9,cellCB_10,cellCB_11,cellCB_12,cellCB_13,cellCB_14,Date
2028808,2016601,2004547,2019805,2016296,1998748,2026519,1935729,2050628,1995239,2015686,2008056,2027893,1965026,-64,441,387,335,399,385,317,431,121,534,298,385,352,439,199,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1678805616
2028961,2016296,2004241,2019805,2015838,1998901,2025909,1935119,2049407,1994781,2015533,2007904,2028045,1964721,-64,441,387,335,399,385,317,431,121,534,298,385,352,439,199,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1678805617
2029113,2015991,2004089,2019653,2015991,1998748,2027282,1936187,2049865,1995239,2015533,2007141,2028350,1965332,-64,441,387,335,399,385,317,431,121,534,298,385,352,439,199,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1678805618
2029266,2016906,2003936,2019348,2016448,1999359,2027893,1936340,2050323,1995086,2015991,2008209,2027893,1965637,-64,441,387,335,399,385,317,431,121,534,298,385,352,439,199,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1678805619
2029113,2016754,2003936,2019195,2016754,1999053,2027282,1936492,2050323,1995849,2015228,2008666,2027740,1964874,-64,441,387,335,399,385,317,431,121,534,298,385,352,439,199,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1678805620
2029113,2015991,2004852,2020568,2016448,1999053,2026977,1936340,2049865,1995086,2015533,2007598,2027893,1965179,-64,441,387,335,399,385,317,431,121,534,298,385,352,439,199,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1678805621
2029418,2016906,2004394,2020111,2016296,1998901,2026824,1935882,2050323,1994934,2015991,2008209,2028045,1965179,-64,441,387,335,399,385,317,431,121,534,298,385,352,439,199,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1678805622
2029418,2016601,2004089,2019500,2016143,1998901,2026824,1935729,2050170,1994934,2015991,2008514,2028198,1964874,-64,441,387,335,399,385,317,431,121,534,298,385,352,439,199,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1678805623
2028961,2015838,2004394,2019653,2015838,1998596,2027130,1936187,2050323,1995086,2016143,2008514,2028350,1965942,-64,441,387,335,399,385,317,431,121,534,298,385,352,439,199,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1678805624
2028808,2016448,2004089,2019195,2016754,1999359,2026977,1935119,2049560,1994628,2015380,2007598,2028503,1965484,-64,441,387,335,399,385,317,431,121,534,298,385,352,439,199,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1678805625
2028961,2016296,2003936,2019348,2015380,1999053,2026672,1935272,2049865,1994628,2015533,2007904,2028045,1965179,-64,441,387,335,399,385,317,431,121,534,298,385,352,439,199,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1678805626
2028503,2016296,2003784,2019348,2016754,1999359,2026977,1936187,2049865,1994781,2015686,2007904,2028350,1965179,-64,441,387,335,399,385,317,431,121,534,298,385,352,439,199,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1678805627
2028961,2016296,2003784,2019653,2016143,1999053,2026672,1935424,2050781,1996002,2015228,2008056,2028198,1965026,-64,441,387,335,399,385,317,431,121,534,298,385,352,439,199,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1678805628
