U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
33,90V;27,41V;0,50A;0,00A;1508W;0W;N/A;N/A;Off;Off;Off;None;27.03.2023 13:20:26.684
33,90V;27,41V;0,50A;0,00A;1508W;0W;N/A;N/A;Off;Off;Off;None;27.03.2023 13:20:27.681
33,90V;27,41V;0,50A;0,00A;1508W;0W;N/A;N/A;Off;Off;Off;None;27.03.2023 13:20:28.679
33,90V;27,41V;0,50A;0,00A;1508W;0W;N/A;N/A;Off;Off;Off;None;27.03.2023 13:20:29.678
33,90V;27,41V;0,50A;0,00A;1508W;0W;N/A;N/A;Off;Off;Off;None;27.03.2023 13:20:30.679
33,90V;28,10V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:20:31.679
33,90V;28,14V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:20:32.678
33,90V;28,17V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:20:33.679
33,90V;28,20V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:20:34.679
33,90V;28,22V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:20:35.679
33,90V;28,24V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:20:36.679
33,90V;28,25V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:20:37.678
33,90V;28,27V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:20:38.679
33,90V;28,28V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:20:39.678
33,90V;28,30V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:20:40.678
33,90V;28,31V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:20:41.679
33,90V;28,33V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:20:42.679
33,90V;28,34V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:20:43.679
33,90V;28,35V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:20:44.679
33,90V;28,36V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:20:45.679
33,90V;28,37V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:20:46.678
33,90V;28,38V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:20:47.679
33,90V;28,39V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:20:48.678
33,90V;28,40V;0,50A;0,50A;1508W;14W;N/A;N/A;Off;On;CC;None;27.03.2023 13:20:49.679
